Brix,TA,Firmness,DryMatter,K,Ca,Mg,P
12.5,7.0875,3.1,12.7,660.0,35.5,36.3,41.5
15.0,13.0,6.1,14.6,880.0,38.8,47.1,52.5
12.5,8.61,1.65,14.1,1384.0,45.4,73.0,105.6
14.0,13.9,2.95,18.3,1077.0,40.7,49.4,70.0
16.0,11.65,5.8,17.1,1560.0,41.1,93.9,105.6
13.0,16.65,3.45,16.5,1129.0,32.0,50.0,76.1
15.0,9.9225,1.6,16.6,1512.0,16.7,57.8,104.5
13.0,11.7075,1.6,15.9,1165.0,26.4,51.3,89.1
11.5,7.6125,1.9,14.3,729.0,54.0,44.8,47.3
14.0,11.6,1.6,15.0,1379.0,25.4,59.3,103.7
12.5,7.65,1.5,13.2,632.0,23.6,29.4,38.9
15.0,10.6,3.8,17.4,1429.0,30.2,66.8,93.5
15.5,12.55,2.05,16.0,1148.0,20.4,49.7,80.4
13.0,13.85,4.5,12.4,1034.0,28.7,49.1,51.2
15.0,15.05,4.0,14.9,701.0,33.3,37.5,38.0
15.0,9.1875,6.1,17.1,1622.0,55.9,103.5,115.5
11.0,7.455,1.75,13.8,766.0,51.4,46.2,49.7
11.0,6.7725,1.2,13.2,967.0,89.7,57.5,74.4
14.0,4.725,6.2,14.9,967.0,58.3,67.2,50.4
10.5,13.55,3.3,12.1,919.0,36.3,42.8,46.8
12.0,10.6575,1.9,14.0,1326.0,68.7,85.8,114.7
13.0,8.9775,1.55,17.8,1325.0,68.2,67.8,94.0
15.5,8.0325,3.2,13.9,643.0,25.6,29.4,35.7
11.5,6.405,1.35,15.0,1048.0,54.7,60.9,87.4
17.0,17.85,6.2,18.7,1684.0,48.6,99.6,132.6
12.0,5.775,1.35,14.1,823.0,28.6,37.0,48.3
11.0,5.67,1.45,10.9,860.0,39.8,41.9,47.9
16.0,15.8,3.0,19.3,1054.0,30.8,46.0,68.9
17.0,17.85,4.9,19.3,1224.0,46.3,53.5,74.4
10.0,11.1,2.7,13.3,740.0,48.0,45.1,48.3
16.0,18.1,5.1,16.6,1233.0,33.7,57.4,82.9
13.5,13.8,3.2,17.9,880.0,39.8,45.0,53.4
18.0,17.85,2.0,18.0,943.0,13.4,42.2,74.4
12.0,8.295,1.7,12.7,1163.0,42.1,58.6,80.3
10.0,7.9,1.65,12.6,541.0,24.0,29.0,32.3
12.0,8.4525,1.65,13.6,632.0,22.8,29.4,35.8
14.0,11.13,4.5,14.6,1534.0,45.0,95.0,115.5
13.5,6.51,1.9,14.7,780.0,23.6,38.3,46.8
15.0,18.15,3.8,13.6,1355.0,31.1,54.8,81.9
13.5,8.19,1.45,15.1,766.0,23.6,38.3,47.2
12.0,7.455,1.65,13.7,672.0,28.6,34.4,39.2
10.0,6.3,1.65,11.4,635.0,45.4,38.7,47.2
12.0,6.5625,1.25,11.2,870.0,40.7,38.8,47.7
12.0,7.4025,1.45,14.7,872.0,41.2,47.5,50.7
12.0,11.97,4.15,15.7,785.0,64.8,48.0,49.7
15.0,15.3825,2.75,16.4,1215.0,23.6,52.1,88.4
12.0,7.0875,1.5,14.6,635.0,22.3,29.4,34.2
11.0,4.7775,1.4,12.0,724.0,35.7,37.0,44.7
14.0,6.51,1.45,15.4,682.0,15.2,33.9,36.4
14.0,11.8,3.2,14.8,752.0,31.0,39.2,49.4
13.0,10.0,2.75,17.3,841.0,64.8,46.6,41.5
14.0,11.8,1.6,16.4,1348.0,31.1,59.3,102.2
13.0,11.4,4.3,15.5,1163.0,52.7,63.4,84.8
15.5,13.55,1.8,16.3,1282.0,16.5,52.3,92.1
17.0,12.8625,4.7,14.4,1622.0,26.1,83.2,98.6
12.0,6.4575,1.5,15.4,781.0,39.8,45.1,47.3
10.0,6.0375,1.3,10.8,860.0,46.5,48.5,52.1
12.5,8.61,4.1,12.7,538.0,34.0,27.6,32.3
14.0,9.975,1.75,13.6,1698.0,46.5,103.5,144.8
12.0,6.405,1.4,15.0,740.0,62.2,45.6,44.3
11.0,15.05,3.6,14.2,930.0,36.8,48.4,55.0
12.0,6.825,1.6,14.2,870.0,42.1,46.5,52.4
12.5,11.4,1.6,14.5,1379.0,42.7,70.7,107.2
11.0,6.3,1.65,13.7,607.0,51.4,38.8,47.2
15.0,12.55,1.75,17.9,1019.0,25.4,43.2,59.8
13.5,9.66,3.05,14.9,623.0,40.1,33.8,34.9
13.5,9.1875,4.1,13.7,592.0,32.9,29.9,39.3
13.0,10.71,3.65,14.9,623.0,52.7,34.4,33.9
14.0,13.1,3.8,16.6,1394.0,47.2,73.0,105.6
10.0,5.7225,1.65,11.3,670.0,40.5,39.1,48.6
14.0,7.1925,1.75,14.9,708.0,22.8,33.9,41.6
11.5,8.1375,4.5,13.2,674.0,52.7,50.0,51.0
12.0,7.245,1.65,13.2,660.0,28.9,31.6,39.5
12.0,5.9325,1.45,14.6,650.0,49.8,41.1,41.9
14.5,12.5,4.4,14.0,592.0,35.9,29.9,32.3
13.0,7.665,1.75,16.5,1085.0,49.1,53.2,65.1
13.0,8.1375,1.7,13.8,1474.0,38.3,70.7,103.6
11.0,15.05,3.6,13.7,903.0,35.7,46.6,51.0
12.5,11.8,1.4,11.2,1384.0,33.7,59.4,94.0
13.0,11.8,2.55,13.4,919.0,31.6,48.8,58.0
13.0,7.0875,1.75,14.4,702.0,29.3,34.9,41.5
16.0,25.7,4.7,20.3,1233.0,54.7,55.5,81.9
12.5,8.19,1.75,17.1,1282.0,68.7,69.6,90.0
10.0,9.8175,1.55,10.4,930.0,45.4,50.8,60.0
15.0,11.13,2.55,15.1,1326.0,26.1,56.2,88.7
10.0,6.51,1.55,12.5,742.0,47.4,50.0,52.5
11.0,6.8775,1.4,14.0,898.0,45.4,51.3,59.7
13.0,11.65,1.5,12.7,1581.0,40.0,83.0,131.0
15.0,13.85,3.2,15.1,857.0,26.1,42.6,54.8
11.5,6.1425,1.55,13.1,644.0,17.6,29.9,40.6
15.0,10.45,2.0,16.5,1325.0,23.6,53.5,87.5
15.0,12.65,2.2,17.4,1622.0,49.5,95.0,134.2
15.0,10.6575,1.75,20.0,1263.0,50.3,54.0,69.6
10.0,7.7175,1.6,12.4,754.0,36.3,43.4,50.4
16.0,9.66,1.65,19.3,1478.0,16.5,56.2,92.1
12.0,7.665,1.65,14.1,749.0,30.2,37.9,44.4
14.0,9.45,5.3,13.9,602.0,66.2,33.0,32.3
12.0,6.3525,1.55,14.1,780.0,40.7,44.0,49.9
14.0,13.9,3.2,15.8,760.0,31.1,40.8,47.7
17.0,18.15,5.8,17.1,1230.0,30.2,54.1,77.4
16.0,11.8,2.55,20.1,1242.0,45.4,53.6,65.1
14.0,12.8625,4.2,14.4,623.0,36.0,33.8,34.9
11.0,5.67,1.4,12.6,618.0,39.3,37.0,46.8
12.0,6.51,1.4,13.4,1001.0,31.6,47.5,57.8
14.0,13.9,4.3,14.4,1300.0,38.7,67.8,94.0
11.5,7.665,1.75,12.6,582.0,28.9,27.6,35.2
16.0,10.75,1.8,16.3,1684.0,26.4,85.7,134.2
15.0,13.85,1.95,13.9,888.0,28.8,44.2,55.8
14.0,11.97,3.0,11.4,1659.0,47.4,96.1,132.6
14.0,13.0,1.85,13.7,898.0,27.8,45.6,56.9
12.0,6.8775,1.35,14.1,917.0,89.7,53.6,64.4
12.0,7.245,1.45,14.9,1131.0,35.5,52.8,74.0
10.0,6.825,1.6,12.6,582.0,32.9,29.9,35.7
13.0,18.15,4.15,17.4,1207.0,41.4,54.0,82.1
10.0,6.1425,1.6,12.4,597.0,45.4,37.0,47.3
11.0,6.1425,1.35,10.7,736.0,45.4,39.3,45.8
11.0,6.0375,1.45,14.6,666.0,53.6,45.7,48.6
12.5,6.825,1.35,14.5,1148.0,164.5,67.8,83.4
15.0,12.0,2.1,17.9,930.0,38.1,45.0,52.5
13.0,7.56,1.7,16.5,1282.0,71.5,72.6,89.8
13.0,9.66,1.65,13.1,735.0,31.1,38.3,47.7
12.0,15.3,3.8,16.6,930.0,45.4,48.9,57.7
16.5,12.65,4.4,15.1,1423.0,24.9,61.1,89.1
12.0,7.0875,1.35,12.6,777.0,36.3,36.7,47.7
14.0,21.55,3.85,17.8,1034.0,30.2,45.7,59.8
12.0,7.7175,1.45,14.5,1126.0,25.6,52.2,88.4
14.0,13.45,3.65,17.5,1230.0,41.2,56.2,84.8
12.0,12.18,2.25,16.8,702.0,35.1,38.7,40.6
12.0,9.45,1.65,12.7,1274.0,45.4,64.5,90.0
12.0,6.3,1.45,15.4,733.0,42.5,43.2,44.1
10.0,9.66,3.3,13.8,737.0,53.1,48.8,51.8
11.0,5.0925,1.3,15.3,823.0,40.5,48.0,52.5
12.0,6.825,1.4,15.1,899.0,64.2,54.1,58.0
12.0,6.51,1.5,13.9,840.0,42.1,46.1,51.8
11.0,8.5575,2.0,14.4,860.0,64.2,52.8,55.4
10.0,4.7775,1.4,12.7,623.0,17.6,29.0,41.5
13.0,14.1225,2.75,14.8,941.0,25.4,46.2,64.1
11.0,6.4575,1.45,13.9,734.0,39.3,43.2,47.7
15.0,13.85,3.85,13.4,875.0,32.0,42.2,50.1
12.0,5.985,1.2,12.0,538.0,25.4,26.8,35.7
12.5,10.6,4.9,14.8,1019.0,58.3,63.4,80.1
14.0,11.13,1.5,15.3,1048.0,8.7,42.5,80.3
10.0,7.0875,1.55,10.9,814.0,49.4,49.1,55.0
16.0,12.285,3.5,18.4,1263.0,34.6,53.8,79.6
12.0,6.5625,1.6,14.7,870.0,36.8,44.2,50.4
14.0,15.1,4.1,17.2,1034.0,45.0,50.4,68.9
11.5,6.51,1.4,13.9,880.0,45.1,49.4,54.8
12.0,6.51,1.5,13.6,1215.0,50.5,72.5,92.1
12.0,18.15,3.8,16.0,1294.0,43.0,63.4,93.9
15.0,13.4,3.2,16.6,1190.0,30.9,52.2,82.1
12.0,8.19,3.2,14.8,985.0,68.2,65.6,79.1
11.5,7.665,1.85,12.9,1034.0,48.6,59.2,72.7
11.0,13.55,2.25,13.2,682.0,23.2,37.7,40.7
12.5,7.0875,4.5,13.4,1153.0,257.4,85.8,97.4
11.0,5.775,1.55,14.4,666.0,27.8,37.5,36.2
11.5,13.55,3.6,15.0,870.0,38.1,45.7,52.5
11.0,6.1425,1.45,14.7,760.0,25.6,39.1,47.2
15.0,13.85,2.95,17.6,734.0,30.0,38.3,47.2
13.0,8.19,1.75,16.2,1274.0,46.4,60.8,87.4
15.0,15.0,2.2,11.6,888.0,45.0,39.2,45.8
15.0,15.85,6.1,15.4,1263.0,42.1,66.8,88.7
13.5,15.9,3.3,17.6,769.0,31.1,39.7,47.9
15.0,16.65,6.9,15.6,1190.0,46.4,61.5,80.1
12.0,7.245,1.75,14.7,1128.0,53.1,60.9,78.7
13.0,7.77,1.65,15.0,1534.0,25.5,69.5,127.8
10.5,10.185,1.925,12.1,678.0,30.0,37.7,44.3
15.0,12.75,1.4,15.4,1448.0,20.4,54.8,101.3
12.0,8.19,2.8,13.3,766.0,38.7,42.5,50.1
13.0,12.3,1.65,14.6,635.0,13.4,33.0,47.5
15.0,12.45,1.8,17.6,538.0,36.8,26.8,31.8
12.0,7.455,1.6,14.6,1215.0,53.6,67.8,89.8
10.0,6.6675,1.45,10.4,660.0,34.0,35.3,47.2
16.0,14.28,1.6,18.7,729.0,14.2,30.0,49.7
13.0,15.0,2.75,13.4,1077.0,30.0,49.4,64.3
17.0,15.3825,4.5,17.1,1370.0,22.8,59.3,92.2
14.0,10.08,4.1,13.5,1560.0,46.2,99.6,127.8
11.5,5.6175,1.4,12.7,582.0,23.6,29.0,34.6
12.0,15.6,3.5,14.1,660.0,24.7,36.7,34.0
11.0,6.51,3.6,11.3,538.0,39.8,33.1,31.8
11.0,10.35,2.95,13.4,777.0,48.0,46.9,50.4
11.0,3.75,1.65,10.7,538.0,33.3,26.8,31.8
14.0,9.765,3.6,15.0,895.0,37.9,47.5,55.8
12.0,7.7175,1.55,13.4,1259.0,31.1,56.2,84.8
11.0,6.3525,1.4,13.1,857.0,45.1,47.5,53.2
13.0,13.45,2.2,13.4,898.0,28.9,46.1,55.4
14.0,13.45,3.6,15.0,644.0,33.0,35.3,35.7
14.0,13.0,5.1,14.1,1285.0,36.3,71.5,92.3
12.0,6.51,1.2,13.2,1085.0,257.4,69.8,89.1
15.0,13.1,1.6,15.6,1163.0,13.4,47.5,88.7
12.5,8.5575,1.5,15.1,870.0,31.0,42.8,50.4
11.0,5.5125,1.35,12.0,836.0,40.8,45.0,50.1
15.0,11.45,4.4,14.1,674.0,34.6,37.1,39.3
13.0,9.45,4.6,14.5,618.0,64.2,36.7,36.2
12.0,11.65,2.0,15.0,829.0,33.7,44.0,50.4
11.5,5.0925,3.1,13.1,777.0,43.0,52.2,52.5
14.5,13.545,1.8333334,15.0,899.0,16.7,44.8,65.1
12.5,13.4,4.1,16.4,967.0,52.7,51.0,59.9
14.0,8.715,4.5,14.0,1022.0,31.1,51.8,59.8
13.0,11.7,3.2,13.5,1077.0,34.1,51.8,69.5
17.0,10.08,1.65,20.1,1581.0,8.7,56.2,93.6
13.0,7.665,1.65,17.2,903.0,54.7,49.4,49.9
16.0,13.9,3.2,17.1,727.0,30.2,38.3,44.7
14.0,16.65,4.05,14.2,701.0,31.0,37.7,34.9
10.0,5.67,1.6,13.8,595.0,31.1,37.7,36.2
16.0,11.97,3.5,17.6,1048.0,30.0,48.8,64.3
11.5,14.5,2.55,11.6,1054.0,34.0,48.9,56.9
14.0,11.3,4.7,15.8,1129.0,54.7,59.3,78.7
14.0,11.6,2.0,15.0,1423.0,35.9,69.5,103.7
13.0,7.0875,1.65,16.4,1129.0,25.6,50.0,64.3
13.0,7.0875,1.35,13.2,1144.0,33.7,45.7,59.9
15.5,11.65,4.1,14.1,817.0,28.9,40.8,49.9
16.0,17.1,2.75,14.1,1370.0,27.8,54.1,89.1
16.0,17.85,5.8,16.8,1190.0,41.1,56.9,80.4
13.0,10.45,1.6,13.6,1063.0,26.4,49.1,65.1
11.5,4.725,1.8,13.3,880.0,45.4,59.2,59.7
13.5,9.87,4.15,13.2,1212.0,35.7,64.8,83.4
14.0,8.4525,4.2,16.6,1163.0,68.7,67.2,70.4
12.0,8.715,1.6,13.6,650.0,23.2,34.9,41.5
10.0,12.25,3.4,13.0,602.0,27.8,29.4,34.2
10.0,9.1875,1.65,10.8,795.0,38.4,45.0,50.4
14.0,9.975,2.05,13.7,1307.0,36.3,60.8,89.8
12.5,6.825,1.5,17.1,985.0,34.1,49.5,53.4
12.0,7.245,2.55,14.4,724.0,46.2,40.9,47.6
12.0,7.035,1.75,15.6,895.0,54.9,51.9,54.6
13.0,8.295,1.4,10.4,1480.0,45.4,67.2,92.2
12.0,6.5625,1.45,14.9,746.0,52.8,45.1,45.4
11.5,5.5125,1.35,12.4,582.0,28.8,27.6,40.7
15.0,11.655,3.5,15.0,836.0,30.8,41.0,53.1
18.0,16.1,4.2,18.2,1294.0,15.0,53.2,87.4
10.0,8.19,1.75,11.0,660.0,33.7,35.5,41.5
15.0,8.5575,1.925,17.7,1022.0,27.0,46.9,53.1
9.5,7.8225,1.35,9.9,841.0,51.4,48.4,54.6
12.0,10.0,3.45,13.2,702.0,40.7,40.5,47.2
13.0,6.405,1.75,11.0,766.0,39.8,33.9,34.2
11.5,6.9825,1.5,13.2,899.0,29.4,47.5,57.7
12.0,10.35,3.2,14.6,650.0,37.8,36.7,35.8
13.0,6.6675,1.75,16.4,1207.0,26.1,53.5,74.4
12.0,10.6575,2.4,14.6,898.0,46.3,49.4,55.0
17.0,13.75,3.45,17.1,1348.0,20.0,55.5,92.3
12.0,8.1375,3.0,13.6,614.0,40.8,34.9,41.6
10.5,8.4525,1.5,12.9,1046.0,55.9,60.8,84.1
14.0,8.19,1.4,16.2,760.0,23.6,37.9,45.1
14.0,8.295,3.0,16.3,734.0,38.7,39.2,40.0
15.0,15.3,1.65,13.7,1423.0,24.7,59.2,101.3
16.0,11.3,3.2,17.7,1379.0,22.8,59.2,92.2
12.0,9.66,1.9,13.8,1296.0,66.2,93.9,106.9
12.0,6.3,1.45,14.1,735.0,30.0,38.3,45.4
11.5,11.45,3.2,12.0,735.0,40.0,40.3,40.7
13.0,12.8625,3.8,13.3,895.0,35.5,47.1,54.6
16.5,18.15,3.6,17.1,1285.0,22.3,53.6,90.0
13.0,15.8,3.6,14.8,943.0,32.0,47.5,56.9
14.0,9.8175,3.8,15.8,766.0,42.7,41.9,47.2
13.0,7.0875,1.75,13.6,1448.0,42.7,76.4,103.6
14.0,13.1,3.45,13.8,1659.0,47.4,100.6,135.1
13.0,12.75,1.75,16.6,702.0,22.5,34.8,47.5
11.5,13.8,3.4,13.4,1204.0,43.2,55.7,80.4
11.0,5.9325,1.35,14.4,841.0,49.4,50.8,54.6
15.0,21.55,4.3,15.3,1300.0,26.1,55.7,84.1
17.0,18.05,3.8,18.7,1581.0,33.0,72.5,127.8
10.0,4.7775,1.35,11.4,749.0,43.4,43.4,47.7
11.0,11.4,3.2,13.1,726.0,40.5,40.3,44.1
16.5,13.85,4.2,13.2,1428.0,30.0,57.8,76.1
12.0,7.77,1.6,13.2,880.0,15.0,41.0,58.0
16.0,14.5,3.45,20.0,1560.0,40.1,72.5,114.7
10.0,12.25,3.5,13.2,724.0,40.0,38.3,35.2
15.0,15.3,3.2,14.1,1560.0,34.3,76.4,107.2
12.5,9.45,3.8,12.6,1144.0,37.8,61.1,80.3
14.0,13.85,1.95,14.8,898.0,17.6,45.0,64.1
13.0,11.7075,3.5,15.3,644.0,38.4,35.8,34.0
14.0,17.1,3.5,12.0,1659.0,37.9,83.2,104.7
18.0,18.15,4.15,18.3,1034.0,28.8,46.9,60.0
11.5,6.1425,1.45,13.9,768.0,23.6,38.3,47.3
13.0,9.45,1.75,16.3,1353.0,164.5,72.9,92.2
11.5,5.0925,1.55,14.6,777.0,18.2,39.2,50.4
15.5,11.45,1.8,17.4,1478.0,22.8,60.9,103.7
14.0,7.77,1.2,18.3,860.0,17.6,37.1,47.7
16.5,25.7,4.1,18.3,1370.0,28.6,57.4,94.0
11.0,7.035,1.4,13.8,888.0,53.6,52.8,59.3
15.0,11.97,1.6,15.4,1684.0,36.3,95.0,135.1
15.0,15.3825,4.2,17.6,1154.0,40.8,52.8,81.9
14.0,9.1875,1.65,13.9,541.0,16.5,27.6,39.2
16.0,13.0,4.9,17.9,1429.0,39.3,72.6,98.6
14.0,7.8225,3.65,14.8,1555.0,40.8,93.9,107.2
14.0,15.6,1.9,14.1,1034.0,16.7,46.6,69.5
12.0,13.9,3.45,15.0,769.0,32.0,41.0,47.3
15.0,15.3,3.2,13.9,1022.0,30.0,48.0,59.8
14.0,6.8775,3.1,15.0,1153.0,26.9,52.1,65.1
14.0,7.4025,6.9,15.0,1153.0,68.7,76.4,72.7
13.5,16.65,4.05,13.4,1474.0,33.7,72.6,98.6
14.0,9.66,6.2,14.7,1046.0,53.1,63.4,70.4
12.0,14.0,3.5,14.0,1215.0,42.5,57.5,84.2
13.0,6.3,1.45,15.0,814.0,68.7,45.0,41.9
14.0,8.19,3.1,11.2,870.0,41.2,38.3,36.4
15.0,16.65,3.45,16.2,857.0,30.0,42.2,51.6
15.5,8.0325,2.7,17.6,1698.0,32.0,100.6,135.1
14.0,8.61,1.95,17.1,1190.0,48.0,55.2,74.4
13.0,9.8175,5.3,14.1,595.0,62.2,30.2,32.3
12.0,7.1925,1.6,13.8,1126.0,24.9,49.4,71.8
14.0,9.975,1.35,18.3,760.0,39.8,38.3,34.9
11.0,5.67,1.4,13.0,749.0,32.5,38.8,49.7
18.0,17.1,3.7,20.0,1259.0,17.7,51.9,87.4
14.0,13.1,4.5,13.7,836.0,30.2,44.8,50.4
10.0,6.9825,1.75,13.2,660.0,47.4,40.9,47.2
9.5,7.0875,1.55,9.9,702.0,46.2,40.9,48.9
11.0,6.1425,2.0,12.9,582.0,41.2,35.8,41.6
13.0,7.0875,1.6,14.9,1122.0,33.7,51.3,65.1
13.0,6.1425,2.05,16.2,1285.0,49.1,83.0,93.1
12.0,8.19,1.85,13.0,614.0,24.9,29.4,37.3
10.0,6.3,1.45,13.2,666.0,49.1,42.6,48.4
13.0,8.715,1.45,17.7,1282.0,63.9,65.6,93.6
13.0,12.5,2.0,13.9,917.0,28.8,47.5,59.5
14.0,11.8,1.65,15.3,1448.0,31.1,64.8,104.7
12.0,11.8,3.8,13.2,644.0,34.6,33.0,34.6
14.0,21.55,4.15,16.6,941.0,30.9,44.2,53.1
11.5,6.1425,1.45,14.0,872.0,33.7,46.1,53.3
11.0,11.7075,3.8,13.9,684.0,40.0,39.2,39.6
18.0,18.3,2.55,17.9,1512.0,8.7,55.7,105.2
14.0,7.0875,1.925,14.3,1478.0,39.3,76.4,103.6
16.0,13.6,6.9,16.1,1300.0,45.1,70.7,90.2
15.0,10.185,1.35,17.4,860.0,14.2,38.6,53.4
13.0,11.8,3.8,13.4,1077.0,36.3,52.3,72.7
11.0,11.97,3.1,13.1,684.0,32.0,38.3,40.7
12.0,12.25,3.6,15.0,640.0,39.3,37.1,33.9
12.5,6.405,4.1,12.4,708.0,28.8,40.3,40.2
15.0,11.1,3.6,13.2,1622.0,45.0,96.1,115.5
11.0,5.6175,1.6,12.9,660.0,25.6,36.6,41.9
11.5,13.55,4.2,14.9,702.0,42.5,39.3,37.3
13.5,11.6,3.8,15.0,623.0,49.8,33.9,32.3
12.0,13.545,5.1,14.4,872.0,47.4,50.8,55.4
13.0,7.035,1.45,16.8,943.0,25.5,45.0,51.8
14.0,15.6,4.15,15.5,1296.0,38.3,63.0,93.1
14.0,10.185,2.25,14.1,602.0,27.8,29.4,40.6
15.0,15.9,4.3,18.4,1204.0,54.9,54.0,78.7
15.0,16.65,3.5,14.7,1370.0,27.4,60.8,93.1
14.0,11.4,4.1,12.7,736.0,35.5,38.7,41.5
14.0,11.1,1.75,15.3,1212.0,27.0,53.0,82.2
10.0,10.0,1.6,10.8,917.0,49.1,50.0,54.8
12.0,9.66,3.5,14.4,872.0,48.6,51.3,59.3
11.5,6.9825,1.45,12.0,607.0,27.8,29.4,40.2
14.0,11.3,3.2,17.2,1001.0,46.2,48.8,56.9
15.0,11.7,3.5,18.2,1288.0,52.8,60.8,84.1
13.0,6.51,1.65,16.1,817.0,59.6,46.2,44.3
14.0,11.97,4.0,16.4,880.0,71.6,46.2,44.1
15.0,15.0,3.4,13.7,1698.0,41.0,100.6,135.1
13.0,9.87,3.2,15.5,1031.0,164.5,55.2,57.7
11.0,7.0875,1.55,12.4,860.0,40.1,47.1,53.4
10.0,6.1425,1.4,13.1,677.0,53.1,47.5,50.7
17.0,13.55,6.1,15.0,1555.0,27.8,81.3,93.9
12.5,10.45,1.65,14.0,677.0,20.0,36.6,47.6
10.0,5.5125,1.35,12.9,597.0,42.7,38.8,45.8
12.5,6.9825,1.4,15.0,759.0,14.2,37.0,49.7
12.0,10.71,2.95,13.2,614.0,23.6,29.4,38.9
12.0,16.65,3.85,14.3,941.0,33.0,47.5,52.7
13.0,8.0325,2.95,14.6,735.0,36.8,38.8,47.2
16.0,15.0,3.5,14.2,985.0,32.0,45.7,57.8
11.0,6.825,1.55,11.8,781.0,39.8,44.8,52.5
13.0,10.08,3.4,13.2,736.0,34.0,39.1,47.6
14.0,11.45,1.95,17.9,903.0,40.5,45.6,50.4
13.0,8.1375,2.0,12.0,650.0,40.7,30.3,34.0
17.0,15.85,6.9,17.1,1188.0,46.5,56.9,74.0
13.0,7.9,1.75,13.2,1294.0,38.1,59.2,84.8
13.0,7.0875,3.8,14.4,666.0,40.0,38.6,40.0
12.0,10.08,1.75,15.3,1212.0,62.2,64.5,84.8
15.0,18.15,3.5,18.1,1474.0,40.0,69.5,114.7
11.5,8.0,1.7,12.6,817.0,39.3,44.8,51.6
12.0,8.295,1.45,12.4,870.0,27.8,43.2,54.0
11.0,11.6,3.2,14.4,614.0,32.0,35.5,33.9
12.5,9.4,1.75,15.3,1340.0,55.9,81.3,104.5
15.0,10.2375,4.1,14.8,777.0,30.9,40.3,48.3
13.0,13.4,1.95,14.4,880.0,22.8,44.8,58.0
13.0,10.6,1.55,16.3,582.0,20.4,29.4,32.3
12.0,8.9775,3.2,15.0,727.0,58.3,42.2,44.1
12.0,8.1375,1.6,13.2,614.0,22.5,29.4,37.3
16.0,18.3,3.8,17.8,1019.0,33.1,46.1,59.8
15.0,17.1,4.6,15.4,836.0,33.0,40.9,47.7
15.0,8.9775,1.65,18.3,1632.0,25.6,71.5,132.6
14.0,18.1,3.8,15.4,1632.0,45.4,95.0,134.2
12.5,6.6675,1.45,16.1,1135.0,16.7,48.8,70.4
11.0,9.9,1.35,9.9,919.0,46.5,47.1,52.1
16.0,16.1,2.05,17.8,1428.0,24.4,59.3,105.6
14.0,11.4,1.65,14.5,1128.0,23.6,48.9,73.0
