Treatment,Store_cat,Site,Brix,TA,Firmness,DryMatter,K,Ca,Mg,P
control,initial,Site1,14.0,18.05,3.3,16.1,1019,40.0,50.8,65.1
control,initial,Site1,17.0,18.3,4.2,17.7,1353,16.6,61.5,79.1
poll_ex,initial,Site1,16.0,18.1,4.4,18.3,1215,24.7,54.8,83.4
extra,early,Site1,14.0,13.1,3.3,17.6,1153,49.1,52.2,87.5
control,initial,Site1,16.0,16.65,3.8,17.8,1296,24.0,50.5,82.9
poll_ex,early,Site1,16.0,18.15,3.45,19.3,1163,26.1,51.3,88.7
extra,early,Site1,12.5,13.23,2.2,15.2,1057,40.8,44.0,56.3
control,early,Site1,15.0,9.765,3.85,17.1,1512,18.2,59.3,103.6
extra,final,Site1,13.5,8.8725,1.8,14.0,983,31.3,50.7,66.5
extra,final,Site1,14.0,9.87,1.65,14.1,1046,22.3,51.9,84.2
su_poll,initial,Site1,13.0,9.45,4.6,14.2,592,30.8,27.6,47.7
control,initial,Site1,16.0,21.2,3.2,15.0,1325,24.4,59.3,72.7
control,initial,Site1,15.0,16.65,4.1,14.9,1233,17.6,51.0,79.6
extra,early,Site1,16.0,13.55,2.55,17.9,1290,16.5,51.7,90.0
control,late,Site1,13.0,9.66,2.4,12.6,1534,62.2,99.6,132.6
control,initial,Site1,14.0,15.85,3.7,17.4,1274,46.5,63.4,101.3
poll_ex,initial,Site1,15.0,14.5,4.1,12.6,1560,35.1,69.8,98.6
poll_ex,initial,Site1,15.0,15.1,3.5,13.9,1632,36.0,83.2,127.8
extra,early,Site1,14.0,15.6,4.05,17.7,1204,28.6,55.5,98.6
su_poll,early,Site1,14.0,11.97,3.05,14.9,1379,43.4,85.7,103.7
su_poll,late,Site1,14.0,8.8725,2.3,14.1,1548,37.8,78.2,111.4
su_poll,initial,Site1,13.0,10.0,5.1,14.8,1131,66.2,83.0,144.8
control,final,Site1,13.0,9.5025,1.6,15.0,1698,54.0,100.6,134.2
extra,early,Site1,15.0,13.4,2.55,18.3,1294,22.8,56.2,89.8
su_poll,initial,Site1,14.0,7.65,4.7,13.9,967,31.1,50.4,69.5
su_poll,initial,Site1,14.0,11.3,5.3,14.2,1144,31.1,72.9,87.4
control,final,Site1,14.0,8.05,1.65,15.8,1154,38.4,54.1,92.3
poll_ex,late,Site1,12.0,8.715,1.9,13.1,1448,50.5,81.3,106.9
poll_ex,initial,Site1,14.0,25.7,4.5,14.0,1307,23.6,63.6,82.7
extra,late,Site1,13.5,10.4475,1.7,14.1,1003,29.1,43.5,67.8
su_poll,early,Site1,16.5,18.15,1.95,20.1,1480,41.4,72.6,104.7
extra,late,Site1,16.0,10.08,1.6,17.3,1288,30.2,58.6,65.1
extra,early,Site1,17.0,17.1,4.3,17.9,1259,31.0,48.9,115.5
control,early,Site1,15.5,12.3,2.95,17.1,614,47.4,33.9,34.2
control,initial,Site1,17.0,14.0,4.2,14.6,1188,29.3,49.7,76.4
poll_ex,initial,Site1,14.0,11.6,6.9,16.3,1429,71.6,93.9,80.3
extra,early,Site1,14.0,13.95,3.6,17.7,1468,38.8,63.7,134.3
su_poll,initial,Site1,15.0,14.35,4.0,17.4,1361,18.7,52.0,84.3
su_poll,initial,Site1,15.0,21.75,3.3,19.5,1334,18.0,60.6,96.1
control,initial,Site1,15.0,15.9,4.5,17.5,1370,63.9,73.0,97.4
control,initial,Site1,15.0,18.45,3.6,16.3,1234,30.4,60.6,90.7
extra,early,Site1,15.0,14.28,3.1,15.9,1263,15.2,65.6,92.1
control,final,Site1,14.0,10.71,1.95,15.5,1428,30.2,66.8,102.2
control,early,Site1,15.5,13.6,4.25,18.6,1501,23.8,86.7,104.7
control,initial,Site1,16.0,17.0,3.7,16.7,1124,17.2,57.1,84.8
su_poll,initial,Site1,15.0,16.35,3.6,15.8,1102,77.4,58.3,82.2
control,early,Site1,15.0,14.2275,2.25,16.7,1099,20.7,45.5,66.8
su_poll,final,Site1,15.0,11.13,1.833333333,20.0,1163,64.8,56.2,74.0
control,early,Site1,16.5,12.8625,3.1,16.6,1031,13.4,49.4,78.7
su_poll,initial,Site1,15.0,9.9,6.1,16.0,1423,68.2,76.4,93.5
control,early,Site1,16.5,13.55,4.15,18.0,1300,34.0,63.0,84.8
control,early,Site1,15.0,13.8,3.4,18.9,1215,32.4,55.5,78.0
poll_ex,initial,Site1,17.0,13.8,3.8,17.8,1207,16.7,55.7,92.2
control,late,Site1,14.0,10.6575,1.75,15.4,1282,28.7,57.8,81.9
su_poll,early,Site1,15.0,8.85,3.5,18.8,1477,48.1,63.0,122.8
control,initial,Site1,16.0,12.55,6.2,13.4,1555,33.0,85.8,80.4
poll_ex,early,Site1,14.0,11.7075,3.2,15.6,1659,257.4,103.5,131.0
poll_ex,early,Site1,13.0,8.4525,2.7,16.8,1684,35.9,96.1,135.1
poll_ex,initial,Site1,18.0,11.8,5.3,16.6,1581,31.6,95.0,104.5
control,late,Site1,14.0,5.7225,2.1,15.4,1285,32.0,69.5,107.2
control,initial,Site1,15.0,9.95,7.1,15.4,1109,31.2,66.1,90.6
su_poll,final,Site1,14.0,6.3,1.75,17.0,1714,45.8,71.7,106.2
su_poll,late,Site2,11.0,12.8625,1.65,10.5,1028,38.1,58.6,73.6
control,final,Site2,10.0,9.975,1.6,11.4,917,40.8,57.5,64.3
control,early,Site2,10.5,14.7525,3.0,11.0,918,47.1,47.1,57.4
control,final,Site2,12.0,9.8175,1.4,14.8,1054,42.7,71.5,74.4
su_poll,late,Site2,12.5,10.185,1.925,12.9,1122,30.0,53.8,56.9
su_poll,initial,Site2,11.0,13.0,3.4,13.4,880,49.4,52.1,51.6
su_poll,initial,Site2,10.0,11.65,3.8,14.5,1001,31.1,45.5,46.8
poll_ex,final,Site2,10.0,9.9225,1.4,12.4,888,38.8,42.6,68.9
control,final,Site2,11.0,7.455,1.55,12.7,875,55.9,48.4,59.8
control,final,Site2,11.5,6.3,1.45,14.3,880,42.5,43.4,50.4
su_poll,initial,Site2,13.0,9.4,4.1,13.5,538,71.5,35.8,37.1
control,final,Site2,10.0,6.8775,1.45,12.9,840,38.4,46.5,55.4
control,final,Site2,9.0,6.825,1.55,11.9,955,39.2,45.7,69.5
poll_ex,final,Site2,10.5,6.8775,1.45,11.0,780,35.5,41.7,49.7
poll_ex,final,Site2,10.5,5.775,1.55,12.6,813,55.4,48.8,44.1
poll_ex,initial,Site2,10.0,11.75,3.4,12.7,621,33.1,30.9,34.9
poll_ex,initial,Site2,14.0,11.8,3.3,13.5,684,34.4,33.7,40.7
control,initial,Site2,14.0,12.65,4.0,14.5,632,34.1,35.6,33.4
poll_ex,final,Site2,11.5,7.35,1.8,14.6,1039,42.8,55.2,38.7
su_poll,final,Site2,12.0,6.825,1.6,14.4,857,54.7,52.3,52.1
su_poll,late,Site2,12.0,7.245,2.15,13.1,632,28.8,30.3,36.2
su_poll,final,Site2,12.0,5.1975,1.6,14.7,776,38.9,46.1,49.2
su_poll,initial,Site2,10.0,13.9,3.8,13.9,703,37.5,40.0,41.9
su_poll,initial,Site2,14.0,11.4,4.9,13.4,682,43.2,38.8,37.3
control,late,Site2,12.0,10.605,1.65,12.9,857,35.8,42.2,48.5
control,final,Site2,12.5,8.7675,1.35,14.7,1019,40.0,50.8,65.1
control,initial,Site2,12.0,11.8,3.6,14.5,766,25.6,38.8,38.9
poll_ex,final,Site2,11.5,7.1925,1.5,14.1,919,38.3,45.6,60.0
poll_ex,initial,Site2,10.0,12.0,3.8,14.7,660,46.5,39.1,35.7
su_poll,final,Site2,12.5,8.1375,1.7,15.3,1009,32.0,49.4,37.6
control,final,Site2,13.0,7.56,1.2,15.6,1128,32.5,55.2,53.2
control,final,Site2,12.0,7.77,1.75,16.4,943,27.0,46.2,49.4
control,final,Site2,11.5,6.9825,1.55,14.3,872,27.4,42.5,57.7
control,final,Site2,12.0,6.6675,1.55,15.4,808,40.2,54.7,57.4
poll_ex,initial,Site2,12.0,10.65,3.8,14.2,674,43.6,46.0,39.6
su_poll,final,Site2,12.0,7.035,1.4,14.1,785,31.6,47.1,51.8
su_poll,final,Site2,13.5,7.8225,1.45,16.3,836,40.1,53.5,59.3
control,final,Site2,12.5,7.56,1.7,14.1,1007,31.7,49.3,45.6
control,final,Site2,12.5,9.135,1.8,15.3,983,38.0,39.3,44.4
control,final,Site2,12.0,5.67,1.65,15.1,727,59.6,50.0,54.6
control,final,Site2,10.5,5.5125,1.4,13.8,650,40.5,39.3,55.4
poll_ex,final,Site2,11.0,5.775,1.15,13.3,647,40.4,41.3,49.2
su_poll,late,Site2,12.0,6.6675,1.6,14.3,737,42.1,45.0,51.2
control,late,Site2,13.0,6.7725,1.5,15.0,660,29.7,35.5,45.5
control,final,Site2,11.5,3.75,1.5,13.2,643,28.8,31.6,41.5
poll_ex,final,Site2,11.0,6.3525,1.6,13.2,740,66.2,47.5,41.9
su_poll,final,Site2,11.0,6.7725,1.55,15.4,735,48.6,44.2,52.7
control,final,Site2,12.0,8.61,1.35,13.8,898,46.4,52.2,44.3
control,final,Site2,12.0,4.95,1.6,14.4,754,39.3,41.9,49.0
control,initial,Site2,14.0,11.35,3.6,14.4,541,32.5,29.9,31.8
poll_ex,initial,Site2,11.0,12.55,3.8,14.4,602,46.2,37.0,35.2
su_poll,initial,Site2,12.0,13.85,4.1,14.0,814,27.8,40.3,41.6
control,final,Site2,12.0,8.1375,1.35,14.6,895,32.9,45.1,47.5
control,late,Site2,11.0,8.19,1.5,11.9,1027,37.0,42.3,59.9
control,initial,Site2,13.0,13.85,3.5,14.6,749,33.0,35.5,33.9
poll_ex,final,Site2,12.5,8.085,1.5,15.2,883,49.3,51.0,48.6
poll_ex,final,Site2,12.0,7.1925,1.6,13.7,930,33.2,43.4,49.3
poll_ex,initial,Site2,15.0,12.65,3.6,14.7,759,34.3,41.1,34.0
control,final,Site2,11.0,6.6675,1.65,13.8,713,49.7,40.8,46.8
control,final,Site2,12.0,6.9825,1.65,13.4,836,68.7,46.6,53.1
poll_ex,final,Site2,12.0,8.0,1.85,14.2,841,49.1,44.9,47.6
control,initial,Site2,10.0,12.75,3.6,13.7,688,35.5,38.6,40.5
poll_ex,initial,Site2,11.0,12.45,3.2,13.9,660,52.8,38.4,40.6
su_poll,initial,Site2,12.0,10.85,3.2,13.1,627,29.9,33.3,39.9
control,final,Site2,11.5,5.67,1.3,13.7,752,41.0,45.7,54.8
control,initial,Site2,13.0,10.75,3.1,15.1,635,30.9,29.4,35.8
poll_ex,final,Site2,11.0,5.67,1.4,14.0,728,41.3,36.4,52.1
poll_ex,final,Site2,12.5,7.0875,1.35,15.7,941,39.3,48.0,77.4
poll_ex,final,Site2,11.0,5.775,1.4,12.4,1063,42.1,47.5,55.8
poll_ex,initial,Site2,10.0,12.5,3.0,13.2,604,37.9,33.4,47.0
su_poll,final,Site2,12.0,5.5125,1.6,15.3,674,34.6,38.7,40.2
su_poll,initial,Site2,13.0,11.45,4.0,15.1,640,33.7,33.8,39.2
control,late,Site2,12.0,7.0875,1.7,13.2,724,22.5,30.2,39.5
control,final,Site2,11.0,4.7775,1.5,13.6,666,28.6,36.3,45.4
control,initial,Site2,14.0,10.45,4.0,14.2,538,36.3,34.3,28.1
poll_ex,initial,Site2,11.0,11.05,3.0,13.7,666,24.6,33.4,40.7
su_poll,final,Site2,14.0,9.24,1.75,14.8,821,37.5,46.0,46.1
control,final,Site2,12.5,6.7725,1.45,13.4,881,22.7,40.3,49.6
control,final,Site2,12.0,6.3,1.25,13.8,795,49.5,37.1,44.7
control,initial,Site2,13.0,13.9,3.5,16.3,903,39.0,46.0,50.7
poll_ex,early,Site2,13.5,11.7,2.5,14.4,731,26.9,32.8,43.4
poll_ex,final,Site2,12.0,7.665,1.55,12.5,895,20.4,40.8,55.0
poll_ex,initial,Site2,13.0,13.75,3.0,13.6,684,33.7,36.6,38.0
su_poll,final,Site2,12.0,6.51,1.55,14.0,726,35.7,37.5,44.5
control,final,Site2,11.0,7.35,1.45,13.5,746,44.7,40.6,46.1
control,final,Site2,11.0,6.405,1.45,12.7,736,35.1,40.3,47.3
poll_ex,final,Site2,11.0,7.665,1.35,11.3,860,38.1,49.5,80.1
poll_ex,initial,Site2,14.0,11.05,3.3,14.9,670,39.5,30.1,43.1
poll_ex,initial,Site2,13.0,10.6,3.8,14.6,618,36.3,36.7,47.7
su_poll,final,Site2,12.0,7.56,1.5,15.3,808,45.9,45.3,51.8
control,final,Site2,12.0,6.5625,1.6,13.0,802,29.1,40.5,50.6
control,initial,Site2,12.0,13.6,4.3,14.8,768,23.2,47.5,50.1
poll_ex,final,Site2,11.5,7.4025,1.45,12.9,746,36.8,39.2,47.9
poll_ex,late,Site2,12.0,5.67,1.5,12.9,651,14.9,34.5,39.4
poll_ex,initial,Site2,15.0,11.7,3.1,15.1,677,25.6,33.1,39.6
su_poll,final,Site2,11.0,5.9325,1.8,12.0,729,25.4,40.5,48.6
su_poll,initial,Site2,14.0,7.9,4.9,12.9,644,36.3,30.0,34.9
control,final,Site2,12.5,8.295,1.75,13.0,1135,49.8,64.5,59.5
control,early,Site2,12.0,12.0225,2.25,12.1,840,21.9,33.7,38.7
control,initial,Site2,15.0,12.25,4.2,13.7,760,25.5,39.8,40.7
poll_ex,final,Site2,11.0,6.51,1.4,13.1,742,45.1,45.0,48.4
poll_ex,initial,Site2,13.0,11.1,3.4,14.7,607,41.2,33.0,40.0
su_poll,final,Site2,13.5,8.295,1.85,14.8,880,54.7,44.8,51.0
control,final,Site2,12.0,7.245,1.4,12.7,1048,24.3,48.5,52.5
control,initial,Site2,14.0,13.55,3.4,15.4,826,42.2,40.4,45.0
control,late,Site2,11.5,5.0925,1.75,12.1,674,29.4,37.9,52.4
control,late,Site2,11.5,8.0325,1.8,11.8,734,47.2,41.3,52.5
control,initial,Site2,13.0,10.45,3.5,14.6,614,38.1,39.7,49.7
poll_ex,final,Site2,10.0,6.7725,1.6,10.7,829,64.2,50.0,53.4
poll_ex,final,Site2,10.0,5.985,1.4,10.8,777,33.7,47.5,54.0
poll_ex,late,Site2,10.0,10.2375,1.9,10.4,899,58.3,51.3,68.9
poll_ex,initial,Site2,15.0,12.5,4.0,11.2,701,41.1,37.0,44.1
control,late,Site2,11.0,8.715,1.55,12.5,774,39.3,43.2,57.1
control,late,Site2,11.0,7.7175,1.55,11.6,769,53.1,43.2,59.9
poll_ex,final,Site2,10.0,7.6125,1.4,10.9,678,37.8,39.3,58.0
su_poll,final,Site2,12.0,5.6175,1.55,13.3,733,53.6,42.2,64.1
su_poll,final,Site2,11.5,5.1975,1.45,12.9,677,32.7,37.9,51.6
control,final,Site2,11.0,6.0375,1.45,12.0,672,33.3,34.8,48.3
control,early,Site2,12.0,8.9775,2.1,12.0,635,15.0,26.8,45.1
su_poll,final,Site2,12.0,6.1425,1.5,13.2,708,32.0,34.9,48.9
su_poll,final,Site2,12.5,6.405,1.4,14.9,730,54.9,42.8,47.7
su_poll,initial,Site2,12.0,10.65,4.0,15.6,640,37.7,36.0,44.3
su_poll,initial,Site2,11.0,10.85,4.2,14.1,615,45.2,33.2,42.8
control,final,Site2,11.0,5.5,1.5,12.5,791,37.4,49.5,55.5
control,final,Site2,9.5,6.51,1.65,12.1,823,50.3,53.0,59.7
control,final,Site2,11.0,5.8275,1.7,13.6,1301,24.0,66.9,109.3
control,final,Site2,11.0,4.725,1.35,12.5,670,28.9,29.0,40.1
poll_ex,final,Site2,11.0,6.5625,1.55,13.2,597,40.7,39.2,36.4
poll_ex,initial,Site2,13.0,10.35,3.8,15.0,595,37.4,34.4,44.4
control,final,Site2,15.0,8.925,2.5,16.3,964,55.6,47.7,57.7
control,final,Site2,14.5,9.45,1.65,16.1,1029,59.4,55.6,64.3
su_poll,final,Site2,13.0,5.8275,1.6,15.6,694,39.9,37.0,40.2
su_poll,initial,Site2,13.0,11.65,4.0,15.5,623,48.0,35.3,34.6
poll_ex,final,Site2,12.0,6.825,1.4,15.3,898,32.0,38.7,55.5
poll_ex,final,Site2,12.0,6.825,1.6,12.4,930,40.5,41.0,57.5
poll_ex,initial,Site2,14.0,12.4,3.2,13.5,723,52.8,37.0,51.2
control,final,Site2,12.5,7.0875,1.65,15.0,1034,45.4,48.8,50.4
control,final,Site2,12.5,7.0875,1.65,13.9,1034,45.4,48.8,50.4
control,final,Site2,12.5,7.0875,1.65,15.0,870,23.6,38.3,47.2
control,final,Site2,12.5,7.0875,1.65,13.9,870,23.6,38.3,47.2
control,final,Site2,13.0,8.19,1.45,14.1,582,30.0,29.4,32.3
control,final,Site2,13.0,8.19,1.45,13.2,582,30.0,29.4,32.3
control,final,Site2,13.0,8.19,1.45,14.1,702,39.8,37.7,41.5
control,final,Site2,13.0,8.19,1.45,13.2,702,39.8,37.7,41.5
control,final,Site2,11.5,6.1425,1.75,15.0,1034,45.4,48.8,50.4
control,final,Site2,11.5,6.1425,1.75,13.9,1034,45.4,48.8,50.4
control,final,Site2,11.5,6.1425,1.75,15.0,870,23.6,38.3,47.2
control,final,Site2,11.5,6.1425,1.75,13.9,870,23.6,38.3,47.2
control,initial,Site2,12.0,10.6,3.2,14.1,582,30.0,29.4,32.3
control,initial,Site2,12.0,10.6,3.2,13.2,582,30.0,29.4,32.3
control,initial,Site2,12.0,10.6,3.2,14.1,702,39.8,37.7,41.5
control,initial,Site2,12.0,10.6,3.2,13.2,702,39.8,37.7,41.5
su_poll,final,Site2,14.0,6.4575,2.2,17.1,860,45.0,46.1,45.8
control,initial,Site2,13.0,14.5,5.8,15.8,781,89.7,44.0,39.3
poll_ex,final,Site2,13.0,10.185,2.55,9.9,1394,43.0,56.9,82.2
poll_ex,final,Site2,12.5,10.08,1.5,17.9,1129,52.7,49.1,64.4
poll_ex,initial,Site2,14.0,17.65,4.3,14.4,1342,33.7,52.6,77.5
control,final,Site2,12.0,7.14,1.75,12.9,811,30.4,38.8,43.6
control,final,Site2,12.0,7.875,1.45,12.7,818,57.4,49.5,41.6
poll_ex,final,Site2,12.5,6.51,1.65,13.7,843,51.4,51.8,53.3
